北京3月31日电 (记者 王恩博)随着中国金融业开放程度不断加深，越来越多外资机构来华展业。记者31日从中国银保监会了解到，外国银行保险机构在华机构数量呈现稳步增长，截至2020年末总资产合计逾5万亿元(人民币，下同)。近年来，银保监会加快推进银行业保险业形成更大范围、更宽领域、更深层次的全面开放新格局。2018年以来，该部门宣布了三轮共计34条对外开放新措施，涉及取消或放宽外资持股比例限制、放宽外资机构和业务准入条件、扩大外资机构业务范围、优化外资机构监管规则和简化行政许可流程等。2020年，银保监会积极推进对外开放落实工作，批准了一批重大外资行政许可事项，包括：批准第一家外方控股的理财公司汇华理财有限公司开业；批准贝莱德金融管理公司、建信理财有限责任公司和富登管理私人有限公司合资在上海市筹建贝莱德建信理财有限责任公司；批准香港友邦保险公司在内地分支机构改建为独资人寿保险子公司等。截至2020年末，外资银行在华共设立了41家外资法人银行、116家外国银行分行和144家代表处，营业性机构总数946家，外资银行总资产3.78万亿元。境外保险机构在华共设立了66家外资保险机构、117家代表处和17家保险专业中介机构，外资保险公司总资产1.71万亿元。2018年以来，银保监会共批准新设外资法人银行2家、外资分行30家。外资保险法人机构增加了10家，外资保险省级分公司增加了74家。银保监会透露，下一步将推进新发展格局下银行业保险业高水平对外开放，进一步完善银行业保险业外商投资准入前国民待遇加负面清单管理制度，优化监管规则，改善营商环境，积极支持在华外资银行保险机构发展。增强开放监管能力，防范金融风险。(完),财经,在华外资银行保险机构数量稳步增长 总资产逾5万亿元
北京3月31日电 (记者 王恩博)记者3月31日从中国银保监会获悉，官方将坚决惩治重大金融风险背后的腐败问题。破坏监管秩序、市场秩序，造成国有金融资产重大损失甚至诱发风险事件的，一律严惩不贷。银保监会表示，近年来，银保监会党委坚决贯彻落实中共中央全面从严治党重大决策部署，坚持从惩治腐败和防范化解金融风险大局出发，深化金融领域反腐力度，积极支持、全力配合驻会纪检监察组，严查重大金融风险、监管失职失守背后的腐败问题并向金融基础设施等领域延伸。谈及下一步工作，银保监会表示，将坚决惩治重大金融风险背后的腐败问题。坚持无禁区、全覆盖、零容忍，坚持重遏制、强高压、长震慑，重点关注高风险机构和地区，持续深入查处重大风险事件、金融案件背后的利益输送、监管失守问题，特别是破坏监管秩序、市场秩序，造成国有金融资产重大损失甚至诱发风险事件的，一律严惩不贷。同时，落实中共十九届五中全会和中央经济工作会议对新时代经济金融工作作出一系列重大决策部署，重点做好反垄断和防止资本无序扩张、提高金融服务实体经济发展效能、妥善处置银行业保险业重大风险、规范发展城商行和农村中小金融机构、完善现代金融监管体系、强化金融消费者权益保护等工作。银保监会还提及，坚决严查违反中央八项规定精神案件，坚定释放越往后盯得越紧、执纪越严的信号。对拉拢腐蚀监管干部的金融机构和人员，严格执行“双通报”；落实行贿受贿一起查处，涉及金融机构及其人员违法违规违纪问题，及时通报监管部门，督促作出严肃处理。(完),财经,银保监会：坚决惩治重大金融风险背后的腐败问题
天津3月31日电 (记者 张道正)京津冀交通一体化重点项目又有新进展。31日凌晨2时40分，随着最后一车混凝土浇筑入槽，京滨铁路单跨最长连续梁顺利合龙。京滨铁路宝坻段全面进入无砟轨道施工阶段，打通了梁场至北辰方向架梁通道关键节点，为2022年京滨铁路宝坻至北辰段建成通车打下良好基础。京滨铁路起自宝坻南站，终至滨海西站，线路长度约97公里，总投资238亿元人民币。该铁路将作为京津之间的第三条高铁通道，成为京沪二通道的重要组成部分，未来通过津承城际向承德方向延伸，实现与京沈客专的衔接，形成天津与东北方向联系的一条新通道。施工方介绍，京滨铁路全线单跨最长连续梁是宝坻段最后一座连续梁，采用(72+128+72)米连续梁跨越津蓟高速，全长273.7米，主跨128米，砼浇筑达6720立方米，主体梁体分75个节段进行施工。因津蓟高速车流量大，现场施工技术难度大，安全风险高。为减少上部结构施工对高速公路行车安全的影响，承建单位中铁十八局采用挂篮全封闭方式悬臂浇筑施工，并在已完成的节段梁两侧设置2.0米高安全防护栏杆及安全警示牌，防止挂篮跨高速施工区域内的任何物体坠落。(完),财经,京津冀交通一体化持续推进 京滨铁路单跨最长连续梁顺利合龙
中新经纬客户端3月31日电 周三，A股三大指数小幅低开，能源设备、家用电器、汽车、造纸等板块涨幅居前，贵金属、航天军工、白酒等板块跌幅居前，碳中和、数字货币、医疗美容、稀土永磁题材走弱。盘面上，采掘服务、食品加工、造纸、汽车整车、白色家电等板块领涨；黄金、林业、航空装备、燃气、稀有金属等板块跌幅居前。概念股方面，昨日涨停、昨日连板、新疆振兴、地下管网、食品饮料等涨幅居前，资金龙头、NFT文交所、碳交易、深圳国资改革、电梯等跌幅居前。个股方面，1268只个股上涨，其中天富能源、ST抚钢、ST瑞德等多只个股上涨幅度超过5%。2187只个股下跌，其中建科院、长龄液压、深圳能源等多只个股下跌幅度超过5%。资金流向方面，行业板块主力流入前五名的是其他交运设备、文化传媒、互联网传媒、营销传播、船舶制造，流出前五名的是其他交运设备、文化传媒、互联网传媒、营销传播、船舶制造。位居主力流入前五位的个股是中国广核、开普检测、欣贺股份、日久光电、地铁设计，流出前五位的个股是中国广核、开普检测、欣贺股份、日久光电、地铁设计。排在主力流入前五位的概念题材是O2O概念、棉花、特高压、风电、深圳国资改革，流出前五位的概念题材是O2O概念、棉花、特高压、风电、深圳国资改革。截至上一交易日，上交所融资余额报7957.73亿元，较前一交易日增加7.58亿元，融券余额报882.54亿元，较前一交易日增加6.72亿元；深交所融资余额报7117.71亿元，较前一交易日减少5.08亿元，融券余额报582.5亿元，较前一交易日增加5.06亿元。两市融资融券余额合计16540.48亿元，较前一交易日增加14.28亿元。从沪深港通南北资金流向看，截至发稿，北向资金净流入0.59亿元，其中沪股通净流入0.36亿元，当日资金余额为519.64亿元，深股通净流入0.23亿元，当日资金余额为519.77亿元；南向资金净流入20.4亿元，其中沪港通净流入17.87亿元，当日资金余额为402.13亿元，深港通净流入2.53亿元，当日资金余额为417.47亿元。财信证券指出，考虑到此前市场指数下行期间，积累了大量套牢盘，随着指数上行，基金赎回压力可能增加。因此后期指数的持续上行，仍需要增量资金入场以及成交量的放大来配合。周二两市共计成交金额为7493.5亿，成交量依旧低迷，资金仍持观望态度，指数未有效突破，市场仍存在较多变数，尤其是外围的美股以及美债收益率，可能会对A股指数反弹产生负面压制作用。中原证券表示，预计沪指短线小幅震荡的可能性较大，创业板市场短线震荡整固的可能较大。建议投资者短线关注航天军工、水泥建材、煤炭以及碳中和概念的投资机会，中线继续关注低估值蓝筹股的投资机会。(中新经纬APP)(文中观点仅供参考，不构成投资建议，投资有风险，入市需谨慎。),财经,A股三大指数小幅低开 汽车股涨幅居前
华盛顿3月30日电 (记者 沙晗汀)国际货币基金组织(IMF)总裁格奥尔基耶娃当地时间30日表示，IMF预计全球经济增长将好于此前预期，但不同国家地区前景将呈分化趋势，且存在极高的不确定性。格奥尔基耶娃当天为IMF和世界银行春季会议发表线上揭幕演讲时表示，IMF今年1月预测2021年全球经济增长率为5.5%，目前来看，全球经济增长将进一步提速，IMF在下周发布的《全球经济展望》中将上调全球经济增长预期。格奥尔基耶娃说，全球经济增长好于预期的部分原因在于政府额外的政策支持，包括美国新推出的一揽子财政刺激措施，另一部分原因在于许多发达经济体今年晚些时候有望出现疫苗驱动的复苏。格奥尔基耶娃还表示，尽管全球总体增长前景有所改善，但各国国内和不同国家地区之间的前景却呈现分化趋势，是一种“多种速度并存”的复苏，尤其依赖美国和中国这两大引擎的驱动。到2021年底，能实现GDP远超危机前水平的国家屈指可数，而美国和中国就是其中的两个。格奥尔基耶娃表示，IMF预计到明年，发达经济体人均收入的累计损失将达到11%，除中国以外的新兴市场和发展中经济体的这一损失将更加严重，预计为20%。“这一收入损失意味着数百万人将会陷入贫困、无家可归、忍饥挨饿。”格奥尔基耶娃指出，目前面临的最大危险就是“极高的不确定性”，未来在很大程度上取决于疫情的发展路径。就目前来看，疫苗接种进展参差不齐和变异毒株的出现正在阻碍经济增长，尤其在欧洲和拉丁美洲。而弱势的新兴市场、低收入和脆弱国家还将面临更大的压力。对于当前危机，格奥尔基耶娃认为，必须制定强有力政策保障复苏，并且给予民众公平机会。首先，集中精力摆脱疫情危机；其次，为经济复苏提供政策保障；第三，投资于未来，打造更绿色、更智能、更包容经济的新势头。今年IMF和世界银行春季会议将于4月5日至11日以线上方式举行。(完),财经,IMF总裁：预计全球经济增长好于预期但不确定性高
"消费者对汽车的感知不再满足于出行需求，智能且安全的下一代网联汽车市场正成为主流。以人工智能为核心的软件技术是否决定下一代汽车产业的发展？如何减少交通事故、提高通行效率和安全系数？从“自动化”到“智能化”，汽车产业还有多少路要走？近日，CETC普华基础软件股份有限公司总经理刘宏倩接受媒体采访时称，下一代汽车将更多取决于软件所设计的功能，汽车的安全性则更多取决于软件和硬件的安全设计。安全——汽车产业硬指标近日，主题为“让技术尊重生命”的2020首届汽车功能安全日活动在线上举行，中国汽车电子基础软件自主研发与产业化联盟(CASA联盟)作为主办单位，意在通过对ISO 26262、AUTOSAR等与汽车安全、软件息息相关的标准解读，倡议汽车行业从软件到芯片、零部件、整车企业等全产业链，关注汽车电子产品的功能安全设计、开发和验证，推动汽车安全水平的提高。作为CASA联盟的秘书长单位，普华基础软件是这场特殊线上活动的独家承办方。刘宏倩介绍说，中国目前已是全球最大的汽车生产国和汽车市场，在未来汽车发展所需要的基本能力中，安全尤为重要。“这个活动的主题本身就是汽车人对生命至上的庄重诠释。”国家市场监督管理总局缺陷产品管理中心发布的最新数据显示，截至2019年年底，我国累计实施汽车召回1992次，涉及缺陷车辆7578.01万辆，生产者因召回而投入直接费用总计约580亿元。专家表示，缺陷汽车产品已经严重威胁到汽车消费者乃至整个社会公众的生命与财产安全，汽车产品的功能安全问题往往最易被忽视。CASA联盟秘书长张晓先倡议，汽车生态链的所有企业应关注功能安全产品的需求规划、设计、实施、集成和验证，开发有效的系统安全架构,确保及时探测到潜在风险并可靠执行安全缓解机制,提升企业对车辆安全性能的不断追求，唤起社会对汽车功能安全的重视。“目前，新能源汽车的电机、电池系统与传统内燃发动机的技术存在较大差异。在国产汽车电子控制系统不断发展的同时，也需要有更加安全的软硬件产品提供基础性支撑。”著名计算机软件专家、中国科学院院士何积丰指出，作为推动新一轮科技革命和产业变革的重要力量，中国要从汽车制造大国向制造强国转变，符合标准的核心技术是当前我国汽车产业发展的关键。趋势——软件定义互联汽车今年2月，国家发改委、科技部、工信部等11部委联合发布了《智能汽车创新发展战略》，对汽车产业智能化、网络化、平台化发展提出了具体任务和发展方向。业内人士认为，技术融合将带来汽车生态链的全局变革，从设计开发到生产应用，以人工智能为核心的软件技术将成为下一代汽车产业的发展过程中重要一环。面对自动驾驶及智能网联汽车的安全与可靠性要求，国际主流汽车厂商的技术路线是通过基于AUTOSAR标准的扩展，在车控操作系统的基础上从分布式的单功能ECU向相对集中的功能域控制器、车辆计算平台方向发展。目前，欧洲所有OEM整车厂均要求功能安全，美国的OEM整车厂已在研究如何实施功能安全，而亚洲的丰田、吉利等车厂也已经明确要求汽车功能安全。今年5月初，普华基础软件基于AUTOSAR规范自主研发的“普华灵智ORIENTAIS 操作系统”产品通过ISO 26262 ASIL-D级最高安全级别认证，成为国内第一家达到国际汽车领域最高安全等级的AUTOSAR操作系统企业，填补了国内汽车电子技术在这一领域的空白。未来，该系统在国内汽车领域的大规模应用将降低车辆可能发生的风险及意外发生时的危害程度，进而使国内汽车厂商提升国际竞争力。人工智能、大数据、云计算等新一代信息技术对汽车产业发展产生了革命性的影响。现如今，自动驾驶、无人驾驶汽车更加对芯片、软件架构、计算平台等提出了更高的要求，软件定义汽车的价值也更加显现。“从软件的角度，汽车软件从预装系统时代到基于环境的学习、迭代、优化的智能系统时代，让汽车在行驶过程中，学习到对驾驶员的期望，然后不断迭代优化车辆的算法，在安全环境下慢慢去适应，并变成一辆最适合于驾驶员的车。”刘宏倩说。“如果要做到这样的方向，前提是标准化的硬件加上变化的软件才会实现各种不同的功能。在标准化硬件上面软件要进行迭代和优化，对软件从架构设计、功能安全到信息安全三个方面都将会是新的挑战。”刘宏倩称，普华作为中国电子科技集团(CETC)的重要基础软件平台，已经开始设计下一代汽车电子操作系统，支持复杂环境感知、智能算法决策、实时安全控制、基于服务的以太网通信、软件远程升级等功能，为软件定义汽车提供基础支撑。市场——产业创新机制建设《智能汽车创新发展战略》明确提出，要构建质量安全、功能安全防控体系，加强产业链关键环节安全联动、网络安全、数据信息安全等机制建设。到2025年，中国标准智能汽车的技术创新、产业生态、基础设施、法规标准、产品监管和网络安全体系基本形成。实现有条件自动驾驶的智能汽车达到规模化生产，实现高度自动驾驶的智能汽车在特定环境下市场化应用。持续发展的自适应自治系统和自适应控制技术正在成为汽车产业创新发展的关键课题，传统车载嵌入式软件架构和操作环境需要不断升级，以满足日益增长的下一代系统需求。尽管现代实时操作系统可以处理安全认证的多核应用程序，但尚无法满足下一代网联汽车的要求。围绕汽车产业生态，建立一套全产业链的创新机制在当下显得格外重要。早年间，普华基础软件开始和国内整车企业联合承担国家“核高基”任务，逐步建立了国产汽车电子基础软件、国产汽车电子控制系统的自主创新能力。2016年，CASA联盟成立国内汽车行业的首个原创性开源社区，开放汽车电子基础软件平台的核心源代码，进一步推动了国内汽车电子产业的技术进步和行业合作。据悉，作为 AUTOSAR组织高级合作伙伴，普华先后参与了软件体系架构、操作系统、通信、符合性测试等标准制定工作，是目前国内唯一可以提供完整AUTOSAR基础软件平台解决方案的中国本土技术服务提供商。刘宏倩说，依托中国电子科技集团(CETC)的大产业格局，普华不仅和中外半导体芯片、工具企业建立了合作关系，也已经和整车企业、零部件企业、互联网科技企业、信息通信等企业合作，不断扩展延伸基础软件的价值链。“事实上，在中国汽车市场从粗放式增长向结构化增长转变的新阶段，要求产业链各环节对汽车控制系统及其软件的安全性与可靠性提供保障，开发更安全、更高质量的产品。随着智能网联汽车的创新发展，除了功能安全，也开始提出了信息安全的需求。面对信息安全需求，需要开发端到端通信安全协议、车规密码服务等安全产品，逐步实现较完整的整车级纵深防御信息安全体系。”刘宏倩最后说。周建明",汽车,从“自动化”到“智能化” 谁来定义下一代汽车产业？
长春7月9日电 (郭佳)中国一汽红旗工厂新车间交付暨红旗H9量产仪式9日在吉林长春举行。中国一汽集团表示，新车间投产和红旗H9量产将为完善红旗产品布局、达成全年20万辆目标、推进红旗品牌实现高质量跃迁成长提供强有力支撑。据介绍，红旗工厂新车间深度融合了工业化、信息化技术，在中国国内首次使用了全自动天车、机器人喷蜡等先进智能装备，创新应用了身份识别、预测性维护等数字化技术。作为新工厂正式投产的第一款车型，红旗H9集成了红旗品牌在造型设计、驾乘体验、智能网联等领域的最新技术成果。长春市副市长、长春汽开区党工委书记王海英表示，将举全市之力支持中国一汽创新发展，支持红旗品牌做大做强。“建设长春国际汽车城，打造万亿级汽车产业集群是最有力的服务举措。”中国一汽董事、党委副书记秦焕明表示，要早日把“红旗”打造成中国汽车产业豪华品牌标杆，为振兴民族汽车工业、为吉林省和长春市经济社会发展作出新的更大贡献。(完),汽车,中国一汽红旗工厂新车间交付 量产最新技术车型
客户端北京7月30日电 “当前，亦庄迎来了区域发展的第三个阶段，也就是北京总体规划中提出来的，对接三城做好一区，这意味着亦庄未来是承接三城的利好资源，整体发展是朝着更加国际化、高端化，产城融合的高品质发展。”清华同衡规划设计研究院、城市发展策划研究所所长彭剑波29日在台湖区域价值论坛如此表示。以“亦庄东扩 台湖热土进行时” 为主题的台湖区域价值论坛现场。2019年11月，北京市政府批复了朝阳、海淀、丰台、石景山、门头沟、房山、顺义、大兴、昌平、平谷、怀柔、密云、延庆分区规划(国土空间规划)及亦庄新城规划(国土空间规划)作为区级国土空间总体规划。亦庄新城规划属于特定地区规划，规划范围包括亦庄新城的大兴部分及通州部分，空间布局“一廊一带三中心”。北京经济技术开发区管委会统一规划和开发建设亦庄新城，积极对接三大科学城，打造高精尖产业主阵地，加大科技创新与产业、城市发展的融合力度，以智慧服务促进技术创新。根据《亦庄新城规划(国土空间规划)(2017年-2035年)》，亦庄新城的范围扩区至约225平方公里。原本处于通州区的台湖，归属为亦庄新城。这意味着，台湖在承接城市副中心通州的同时，正式纳入亦庄新城经济管辖。亦庄新城规划明确，台湖作为亦庄新城空间布局规划“一廊一带三中心”中的科技金融创新中心，重点作为亦庄开发区的产业承接重点发展科技服务业、金融服务，建设有利于技术创新和产业发展集聚的地区创新中心。北京市房协副会长陈志在论坛上表示，亦庄新城规划发布，基于亦庄的发展战略以及台湖特殊的区位优势、天然的规划基因和连接属性，使得亦庄东扩至台湖成为发展必然。而从2020年初开始，实质性的权利层面也有了进一步推动，包括税收、拆迁权、不动产登记等逐渐转移，也证明了亦庄规划正在逐渐落地。基于先天区域及轨交的前置规划，台湖形成了独特的TOD发展模式，区域内实现了先规划后发展。彭剑波提到，台湖通过两站一街TOD发展模式的规划，台湖可以更好地实现都市化和国际化，依托立体轨道交通，通过京津等几大高速，很快融入到跟CBD互动，包括主城区和副中心，另外通过S6号线连接了双机场，优质的轨交发展让这个区域更有活力和动力。“台湖的两站一街规划发展，未来会形成多元融合和多重活力共生的美好生活场景，每一个TOD站点都成为城市活力的节点，实现街区和城市的高度融合，实现职住平衡与产城融合。”彭剑波称，不管是从亦庄新城整体的规划定位，还是台湖科技金融创新中心的定位，台湖都已经迎来加速发展的新阶段。众多高新技术企业资源的引进、交通枢纽规划落地的同时，台湖也已经吸引到万科、泰禾、金茂、绿城等头部房企驻足。2月份，绿城以49.8%的溢价率竞得台湖一宗不限价宅地。而万科早在2012年便入驻台湖。截至目前，万科在台湖形成了住宅、办公、别墅、商业等多元业态，4万方新五街也已开业。2019年入市的万科城市之光·东望基于17号线首站的地铁优势，从住区体量、配套、IP运营、品牌APP搭建四个维度，打造地铁城市，融入科技生活，不断从未来生活角度出发提升人居环境。陈志建议，从行业的角度出发，希望开发商从TOD模式出发做城市运营商，城市发展角度更期待看到1公里的开发，1平方公里的城市级别视角的开发运营。只有对区域的深度理解才会有更合适的开发助力，在前期注入更多的参与，才会更能从人的生活角度去实现人居品质的需求满足，实现长周期的运营。(完),房产,专家：北京亦庄迎来加速发展的新阶段
传统观念中，租房无非就是租客通过各种渠道找到房源并租住的行为。不过，作为长租公寓行业的知名品牌，蛋壳公寓在2020年不断开拓租住服务边界。仅今年上半年，就先后与货拉拉、顺丰快运、丁香医生、亚马逊海外购、御泥坊、喜马拉雅等12大品牌达成合作，为消费者提供更多的租房新体验和租住福利。与蛋壳公寓达成合作的这12大品牌涵盖了美妆、食品、医疗、购物、娱乐、出行等多个领域。其中，食品行业的品牌有Cakeboss、快买酒；购物行业有亚马逊海外购、多点；出行行业有租租车；美妆行业有御泥坊；休闲娱乐行业的品牌则有喜马拉雅、花点时间；健康领域的品牌有丁香医生和善诊，此外还有顺丰快运、货拉拉这样的拉货搬家品牌。他们都在各自的领域拥有领先的品牌优势和良好的口碑。对于当代城市青年而言，租房是他们无法绕开的话题。在职业发展的初期，繁重的工作让“两点一线”的生活变成常态。他们牺牲了自己的时间，没有娱乐放松的机会，业绩提升的同时，焦虑同时也找上门来。此外，对于许多2020年的应届毕业生来说，疫情的突然而至也打乱了他们原有的计划。企业宣讲会取消，现场答辩取消，无法参加毕业典礼……许多人最终只能拿到PS处理后的毕业照，甚至如何取回放在宿舍的物品都成了难题。正是看到了这种现状，蛋壳公寓在日常推出的租房优惠活动基础上进行了不断尝试，与跨行业的品牌积极合作，将租住生活的方方面面进行深度捆绑。除了为租客提供租金优惠的同时，蛋壳公寓加入了更多体贴化的生活服务，给租客送去更多的福利补贴。今年毕业季，蛋壳公寓联合顺丰速快运、货拉拉推出的“一键式离校”活动，为后疫情时代的毕业生们送上百元大件邮寄礼包和百元搬家优惠礼包，兼顾同城和城际运输的同时，真正把效率与性价比有效结合了起来。针对平日工作繁忙的上班族，蛋壳公寓联合租租车平台，推出了“先领券、再下单”活动，让郊游、短途旅行变得更加划算。除此之外，蛋壳公寓还和快买酒进行合作，送出红酒折扣、啤酒代金券等多重福利，让上班族的周末小聚变得更加划算。蛋壳公寓在租房市场中打出了一记组合拳，让租房与生活深度绑定，不仅降低了租客在日常生活中的选择成本与决策成本，并让租客在工作中的压力得到有效释放。更关键的是，蛋壳公寓此举打破了人们对租房的认识，这种“一站式”服务或将是租房服务的全新定义。据了解，蛋壳公寓成立于 2015 年初，是一家以数据驱动为核心，提供高品质租住生活的资产管理和居住服务平台，产品形态涵盖合租公寓、整租公寓等，满足都市年轻白领多元化的居住需求。创立至今五年多时间，已进入北京、上海、广州、深圳、苏州、杭州、天津、武汉、南京、成都、无锡、重庆、西安13地市场。2020年1月17日，蛋壳公寓在纽约证券交易所正式挂牌上市，成为2020年登陆纽交所的中国第一股。(蛋壳公寓供稿),房产,联手12大品牌跨界合作，蛋壳公寓重新定义租房生活
7月28日电 27日，财富中文网发布2020年度《财富》中国500强排行榜。其中，碧桂园集团以4859.08亿元的营业收入维持第19名，位列房地产行业榜第一。《财富》中国500强排行榜，考量了全球范围内最大的中国上市企业在过去一年的业绩和成就，由世界著名的财经杂志《财富》与中金公司财富管理部合作编制，是衡量中国上市企业发展状况最著名、最权威的榜单之一。今年500家上榜的中国上市公司总营业收入达到50.5万亿元人民币，较去年增长11%；净利润达到了4.2万亿元，较去年增长超16%。今年上榜公司的年营收门槛接近178亿元，相比去年提升了近10%。去年中国GDP突破99万亿元，这意味着榜上500家上市公司的收入总和超过了中国当年GDP的一半。地产行业是入榜公司最多的行业，今年共有53家地产公司上榜，收入总额达到4.5万亿元，较去年的3.7万亿元有显著增长。随着地产行业开始进入存量时代，碧桂园顺应行业发展大势，行稳致远、稳健经营，业绩获得持续稳定增长。年报显示，2019年碧桂园实现归属公司股东权益的合同额约人民币5522亿元，实现总收入约4859.1亿元，同比分别增长10%和28.2%，持续领跑行业。今年5月，《福布斯》2020年上市公司2000强榜单发布，碧桂园集团位列第111名，较2019年排名上升18位。当前，碧桂园已获国际权威信用评级机构——惠誉给予投资级的BBB-企业信用评级，标普及穆迪也分别给予碧桂园BB+及Ba1评级，距投资级均只有一级之遥。2019年8月，穆迪又将对碧桂园的展望由“稳定”调升至“正面”，反映出市场对于碧桂园未来发展的信心。,房产,2020年《财富》中国500强发布 碧桂园位列房地产行业第一
